170205 173046.014|CONFIG|Thread-7|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\logs directory.
170205 173354.143|INFO|Thread-32|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #199 ) recieveObject
170205 173354.158|INFO|Thread-32|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173354.158|INFO|Thread-32|dumpPacket|    To: TEAM1 @ site 1
170205 173354.158|INFO|Thread-32|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 11 NEW167401 ms from TEAM1 @ site 1 id Run--1649764703146886050
170205 173354.158|INFO|Thread-32|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #199 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173354.158|INFO|Thread-32|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #199 ) handlePacket
170205 173354.158|INFO|Thread-32|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173354.158|INFO|Thread-32|dumpPacket|    To: TEAM1 @ site 1
170205 173354.158|INFO|Thread-32|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 11 NEW167401 ms from TEAM1 @ site 1 id Run--1649764703146886050
170205 173355.971|INFO|Thread-32|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #199 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173518.189|INFO|Thread-33|info| receiveObject(S) start got Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173518.189|INFO|Thread-33|dumpPacket|Packet ADD_SETTING (Seq #202 ) recieveObject
170205 173518.221|INFO|Thread-33|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173518.236|INFO|Thread-33|dumpPacket|    To: SERVER0 @ site 0
170205 173518.252|INFO|Thread-33|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Kosta
170205 173518.267|INFO|Thread-33|info|handlePacket start Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173518.346|INFO|Thread-33|dumpPacket|Packet ADD_SETTING (Seq #202 ) handlePacket
170205 173518.361|INFO|Thread-33|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173518.377|INFO|Thread-33|dumpPacket|    To: SERVER0 @ site 0
170205 173518.377|INFO|Thread-33|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Kosta
170205 173518.392|INFO|Thread-33|info|handlePacket end Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173518.392|INFO|Thread-33|info| receiveObject(S) end   got Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173544.563|INFO|Thread-34|info| receiveObject(S) start got Packet[UPDATE_SETTING] #204 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173544.579|INFO|Thread-34|dumpPacket|Packet UPDATE_SETTING (Seq #204 ) recieveObject
170205 173544.594|INFO|Thread-34|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173544.610|INFO|Thread-34|dumpPacket|    To: SERVER0 @ site 0
170205 173544.626|INFO|Thread-34|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Kosta
170205 173544.641|INFO|Thread-34|info|handlePacket start Packet[UPDATE_SETTING] #204 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173544.641|INFO|Thread-34|dumpPacket|Packet UPDATE_SETTING (Seq #204 ) handlePacket
170205 173544.641|INFO|Thread-34|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173544.641|INFO|Thread-34|dumpPacket|    To: SERVER0 @ site 0
170205 173544.657|INFO|Thread-34|dumpPacket|   key: PROBLEM is: edu.csus.ecs.pc2.core.model.Problem Kosta
170205 173544.657|INFO|Thread-34|info|handlePacket end Packet[UPDATE_SETTING] #204 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173544.673|INFO|Thread-34|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #204 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173607.012|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Kosta Java file: C:\packetB_Magnolia\Kostas.java
170205 173607.059|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #14 TEAM1 @ site 1 -> SERVER0 @ site 1
170205 173607.075|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #14 TEAM1 @ site 1 -> SERVER0 @ site 1
170205 173607.356|INFO|Thread-36|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #205 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173607.356|INFO|Thread-36|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #205 ) recieveObject
170205 173607.356|INFO|Thread-36|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173607.356|INFO|Thread-36|dumpPacket|    To: TEAM1 @ site 1
170205 173607.356|INFO|Thread-36|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 12 NEW300630 ms from TEAM1 @ site 1 id Run-7852741599072339790
170205 173607.356|INFO|Thread-36|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #205 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173607.356|INFO|Thread-36|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #205 ) handlePacket
170205 173607.356|INFO|Thread-36|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173607.356|INFO|Thread-36|dumpPacket|    To: TEAM1 @ site 1
170205 173607.356|INFO|Thread-36|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 12 NEW300630 ms from TEAM1 @ site 1 id Run-7852741599072339790
170205 173608.497|INFO|Thread-36|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #205 SERVER0 @ site 1 -> TEAM1 @ site 1
